genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Pcsk2os1,5.0667546862550187e-11,1.02812219777729,0.172,0.082,1.0187723647652966e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Zfyve1,5.1090982591502025e-11,0.5186104365157378,0.507,0.348,1.0272863869673312e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Rims4,5.1371367856050056e-11,1.0688163709093057,0.157,0.073,1.0329240934815983e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Bex1,5.1619767649272694e-11,0.30077395192645273,0.858,0.7,1.0379186681239262e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Armc10,5.202634581830307e-11,0.4638079566558584,0.507,0.341,1.0460937353686197e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Sdf2l1,5.2047934385935125e-11,0.5594824323574563,0.344,0.207,1.0465278166979977e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Samd5,5.2217361336515326e-11,-3.6649360608088823,0.008,0.1,1.049934484393314e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
mt-Co2,5.250404020375888e-11,0.13360501780315115,1,1,1.0556987363769796e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Zfr2,5.282601621330446e-11,0.5801101700893468,0.435,0.289,1.0621727080009127e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Fam214b,5.3194131704003854e-11,0.7061941028899275,0.316,0.19,1.0695744061724055e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cnot8,5.4103634320920936e-11,0.4526985245742052,0.616,0.458,1.0878617752907571e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cln8,5.5291060032374584e-11,0.7893487075568324,0.251,0.138,1.1117373440709558e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Rbm24,5.6681801875761606e-11,-1.4515252130876344,0.13,0.258,1.1397009903159387e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Wdr7,5.6864861688233785e-11,0.3945524120029412,0.594,0.418,1.1433817739653168e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Stmn1,5.722051118144888e-11,0.17364258576191283,1,0.991,1.1505328183253929e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ly6e,5.778569400274688e-11,0.5274646977178046,0.376,0.233,1.1618969493132314e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Pknox2,5.7849401176723677e-11,-1.3611156993740194,0.172,0.304,1.163177909460383e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Plcd1,5.848200065426566e-11,1.1487708584814027,0.151,0.069,1.1758975871553197e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Plekha7,5.863176859124713e-11,-5.5864878369331334,0.002,0.088,1.178908971064206e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Bub1b,5.878809890175421e-11,-4.250215428441237,0.008,0.099,1.182052304617572e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Gm14330,6.012106152641661e-11,1.78457703661703,0.066,0.019,1.2088541841116589e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Acin1,6.105189979859854e-11,-0.39015989585218414,0.839,0.87,1.2275705492504207e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Lifr,6.130683988920764e-11,1.033971076276746,0.163,0.077,1.232696629652298e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Arf3,6.195135830249753e-11,0.420446583117931,0.631,0.458,1.245655961388318e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Gne,6.260976071716219e-11,0.874148478372397,0.234,0.127,1.25889445873998e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ube2e2,6.298119984123145e-11,0.26565702836365634,0.909,0.791,1.266362985207641e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ndufb4,6.351395343743355e-11,0.30788083842071234,0.887,0.786,1.2770750617664764e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Nos1,6.351917624371772e-11,0.4363388902719718,0.333,0.197,1.2771800767324323e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Mfsd1,6.485627226473143e-11,0.681218894035597,0.287,0.165,1.3040650664269548e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Morc2a,6.518097556759264e-11,0.4458480894181043,0.516,0.352,1.3105938757375852e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cuedc2,6.531027599957519e-11,0.25848912309101846,0.966,0.918,1.3131937195234585e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Eef1a1,6.645489369657001e-11,0.13192383594019397,1,0.996,1.3362085475569328e-6,5,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
