genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Ror1,1.747968911245709e-11,1.6030839516576192,0.059,0.017,3.509222386216886e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Arhgef9,1.7516658854737974e-11,-0.836623640962235,0.252,0.388,3.516644431677196e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Map3k4,1.7607182174760338e-11,0.6907053110859445,0.346,0.222,3.534817893404886e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mbip,1.7634010113899274e-11,0.6818006246992405,0.369,0.24,3.540203870466419e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Eri2,1.7853396960842706e-11,0.9980942197570823,0.234,0.134,3.584247973858782e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Lamb1,1.7993841129364283e-11,-2.5548731945976577,0.023,0.116,3.612443545131174e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Agap2,1.8302437477980716e-11,-2.586384885067145,0.018,0.107,3.6743973480794084e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Eloa,1.852476230347895e-11,0.8524980733092171,0.223,0.123,3.719031280046435e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mdp1,1.8534789458903572e-11,0.4873733724229306,0.55,0.403,3.721044331769481e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Dcp2,1.8577273291155715e-11,0.6350394748260846,0.342,0.217,3.729573385932422e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Kctd1,1.876879052703948e-11,0.5583778320045514,0.514,0.384,3.768022386208446e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Vash1,1.8943519321142052e-11,-1.516043904054687,0.072,0.184,3.803100938912478e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ppp1r8,1.9191788151408065e-11,0.7064432786887964,0.328,0.208,3.852943389276683e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tnip2,1.9203515920834747e-11,1.552356870743257,0.07,0.022,3.855297856266784e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nhlh2,1.9362070823413788e-11,-4.616526849498392,0.004,0.083,3.887129338508552e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Pkmyt1,1.9499574325710376e-11,1.045519346693104,0.169,0.084,3.914734541629615e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ppt1,1.9566305068635188e-11,0.577967514422295,0.472,0.341,3.928131405579201e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Snx33,1.9763497474633467e-11,2.1752872216634342,0.041,0.009,3.9677197530074147e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Faxc,1.996603547665131e-11,-0.9812411277682572,0.164,0.296,4.008381282292518e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ppt2,1.9989954160819488e-11,0.7440982098001796,0.245,0.138,4.01318319732612e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Prpf4b,2.0070862197421958e-11,0.4252167357977411,0.656,0.534,4.029426294754433e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mrps22,2.0679728716563747e-11,0.5510555397555416,0.468,0.332,4.151662337137338e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tpgs2,2.1140662771643608e-11,0.43151069094693034,0.553,0.409,4.2441994580351705e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zfp771,2.1684933102889982e-11,0.4385124097033888,0.654,0.533,4.353467169736194e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ankrd28,2.213421050414561e-11,-0.49451803427390933,0.546,0.67,4.4436641008122723e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gm32647,2.2182684173740667e-11,-3.5479592707957956,0.007,0.089,4.4533956747201764e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Dnajc27,2.2376634917641983e-11,1.0117884893805544,0.196,0.105,4.492333226065805e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zfp266,2.241661661986363e-11,-0.44514685311004987,0.623,0.742,4.500359952603823e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ddx41,2.263182313056851e-11,0.4991715135161224,0.503,0.358,4.543564811692935e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rab27b,2.2809863229573492e-11,1.6471107470338548,0.059,0.017,4.579308141969175e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Adam9,2.2853371037271377e-11,0.7078480244247705,0.295,0.179,4.588042769442601e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Scml2,2.3084326603604384e-11,1.6403402586493931,0.074,0.025,4.634409408939616e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mtpn,2.309722938530348e-11,0.40656027845584936,0.714,0.6,4.636999771393526e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Adamts10,2.3166408097299608e-11,0.8530570233217398,0.258,0.151,4.650888089613869e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gripap1,2.337394701572957e-11,-0.7403205910461939,0.357,0.482,4.692553602877868e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
0610009B22Rik,2.3478481322117157e-11,0.4953725585522836,0.593,0.459,4.713539910228241e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Vrk2,2.356714071154091e-11,0.6304818474142604,0.227,0.123,4.731339169248954e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gatad2a,2.3641969118614496e-11,0.5104490503953303,0.503,0.358,4.746361720253047e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Scyl2,2.364294469635688e-11,-0.8242412323147543,0.227,0.363,4.746557577240608e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rapgef4,2.3643268176089335e-11,-1.6914901510972409,0.07,0.18,4.746622519031695e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Aco1,2.3655856831840148e-11,0.5848666492947456,0.416,0.283,4.749149817560229e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tbccd1,2.3666300732560173e-11,0.918035168423646,0.198,0.104,4.751246535068781e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ubr7,2.3733211432448244e-11,0.6945952036032259,0.317,0.198,4.76467952717831e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Msto1,2.377330156970152e-11,0.7297628008532109,0.305,0.188,4.772728023133277e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Atp5l,2.3851893132851734e-11,0.1896448566798088,0.993,0.982,4.788506065351314e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zfp593,2.4011345282123413e-11,0.6523649653127099,0.371,0.244,4.820517678839096e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Slc38a1,2.4170843017124892e-11,-0.3297441634463192,0.623,0.783,4.852538444117994e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zfp558,2.4247066815648403e-11,-1.6525318029538858,0.058,0.164,4.867841133909573e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zc3h14,2.430239819682282e-11,0.4611846701269693,0.694,0.574,4.87894946199415e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ttc30b,2.457587319007475e-11,1.0772319946671502,0.153,0.073,4.933852301639407e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ntsr1,2.4723683498803716e-11,-3.416528950098785,0.011,0.094,4.963526699219834e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rab15,2.5389973455754345e-11,-2.9560553174598265,0.013,0.097,5.097291070977242e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Smarcc1,2.5454401669555076e-11,-0.3427476207888911,0.847,0.896,5.110225679179877e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tctn1,2.5650186136252755e-11,1.2980596037847292,0.123,0.053,5.149531368714103e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Naa10,2.6188708341830022e-11,0.5384436982776438,0.541,0.411,5.257645086705796e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nudt16l1,2.6330333526175568e-11,0.5684673830826957,0.472,0.338,5.286077758715008e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rbm38,2.6360162350385348e-11,0.789679199247231,0.241,0.137,5.292066193463363e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Napb,2.6533712201960555e-11,-1.1687837562612666,0.119,0.241,5.326908061665601e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ccdc115,2.6889836279530798e-11,0.4977094748159081,0.51,0.365,5.398403531478604e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Trim3,2.7123833571260187e-11,-0.9663090567203844,0.173,0.302,5.445380827766195e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Cyp4f17,2.783641999037564e-11,1.2607751207287157,0.117,0.05,5.588439677267814e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Dact1,2.834229579978027e-11,-1.837026039775418,0.056,0.16,5.689999304763887e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mrpl44,2.8375583789712704e-11,0.6129185377372925,0.396,0.268,5.696682201622723e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rap2c,2.8409250188331724e-11,0.8023351237516045,0.25,0.144,5.703441067809477e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ifi30,2.8496659960615368e-11,0.928106767030477,0.101,0.04,5.720989453693142e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Scly,2.913191822884772e-11,1.230222897148319,0.135,0.062,5.848523903623468e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Actr2,2.937631921330603e-11,-0.5456245332789158,0.49,0.612,5.897589845263318e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Eef1akmt2,2.942626354873742e-11,0.44241604147030655,0.598,0.456,5.907616670044524e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ccdc30,2.945992089476465e-11,0.9162658783362634,0.247,0.143,5.914373718832951e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rtraf,2.946512520903207e-11,0.24703273917813084,0.932,0.924,5.915418536965279e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rad9a,2.953689472519605e-11,1.1142965917742855,0.146,0.068,5.929826985030358e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sap18,2.967438579561648e-11,0.443325897353692,0.679,0.569,5.957429692327964e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
