genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Prox1os,8.271445842017638e-13,1.3014281671944516,0.064,0.018,1.6608236106187215e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Strip2,8.278718605485335e-13,2.5404993296775293,0.036,0.007,1.6622839087954003e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Mtmr7,8.282582044056939e-13,-1.066420636776524,0.156,0.293,1.6630596486261927e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Nsl1,8.320638713751878e-13,1.5444854641597967,0.088,0.031,1.6707010473342398e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Phtf1os,8.418190722299713e-13,1.5501173322391275,0.083,0.028,1.690288515130559e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Tfap2d,8.507951477147985e-13,-4.817952544292956,0.005,0.092,1.7083115770965443e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rnf130,8.509368702127602e-13,-0.48633013431609673,0.719,0.797,1.7085961417002012e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Nub1,8.533444312436418e-13,-0.702384422677099,0.38,0.511,1.7134302834941082e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Pgbd5,8.670667665828674e-13,-2.258868675397405,0.024,0.124,1.7409833606217392e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Obsl1,8.847682538033001e-13,0.9859580689230816,0.187,0.093,1.7765261768116464e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Metrnl,9.044208196794876e-13,1.7725097535755752,0.073,0.023,1.8159865638344436e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Commd10,9.113133313308215e-13,0.5614070133175998,0.458,0.315,1.8298260379791567e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Vezf1,9.184617459497973e-13,0.42087225649104615,0.65,0.485,1.8441793396925983e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Alg2,9.232842839413688e-13,-0.7240487388213719,0.376,0.503,1.8538625137258745e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rybp,9.24119800757306e-13,-0.7036847070932697,0.295,0.443,1.8555401479405943e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Kif6,9.413718785382317e-13,1.2422894343966189,0.123,0.051,1.8901805949169153e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Szrd1,9.495002333980565e-13,0.6872095360699625,0.388,0.256,1.9065015186399576e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
AU022252,9.52819528860578e-13,0.7207361038515239,0.324,0.198,1.9131663319991545e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Aen,9.697696784962186e-13,0.572964535235384,0.484,0.341,1.9472005374525572e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Mks1,9.782857037702583e-13,1.1297026555058336,0.161,0.076,1.9642998646003017e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Sarm1,1.0072884694200936e-12,-1.5170516928846287,0.076,0.195,2.022534517748606e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Tubd1,1.0099197081581078e-12,1.212904508900821,0.14,0.062,2.0278177820106645e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Pde4a,1.025983977566531e-12,-3.2292232136488805,0.01,0.1,2.0600732285558375e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Antxr2,1.0292185630935793e-12,0.6912057995533691,0.203,0.102,2.0665679528355976e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Yipf6,1.0372907930484393e-12,0.8143853380120314,0.251,0.14,2.0827761833619618e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Jarid2,1.0523142599289888e-12,-0.7750782023793381,0.485,0.598,2.1129418025114167e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
C230057M02Rik,1.0689503176859977e-12,-3.143429192759159,0.014,0.106,2.1463453428817147e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Sncaip,1.0825912753756077e-12,0.3950230147228124,0.868,0.754,2.1737350218266825e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rb1cc1,1.0962358464013649e-12,-0.5540064582798256,0.563,0.668,2.2011319559893e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Nelfb,1.1005466905708445e-12,0.5864796800411662,0.518,0.381,2.2097876999971986e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Cstf1,1.101276516005971e-12,0.7939012591733237,0.302,0.181,2.2112531164883897e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Eif3b,1.1353600213096598e-12,0.45951623025565547,0.685,0.549,2.2796893867876662e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Chrdl1,1.1358620279429852e-12,2.2143834378267337,0.045,0.01,2.28069736590672e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Arhgdig,1.1758168546563709e-12,-1.8656424897108357,0.05,0.161,2.3609226624645273e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rars,1.1790766979665493e-12,0.54923156395903,0.572,0.435,2.3674681018470344e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Nipa2,1.1857012365633444e-12,0.5219562397370265,0.499,0.353,2.3807695128955392e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Tctn1,1.1878010461808377e-12,1.365199616321342,0.125,0.053,2.3849857206265035e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Zfp593,1.1882462323648837e-12,0.6860264495638766,0.385,0.251,2.3858796099654495e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Trappc6b,1.2053893186124794e-12,-0.4952025130178217,0.565,0.68,2.4203012128419978e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Sap18,1.2303352164958269e-12,0.4890709082847724,0.688,0.57,2.4703900812019707e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Cep162,1.2800057243433057e-12,0.742169074766666,0.272,0.156,2.570123493908923e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Chst14,1.2941003722040204e-12,1.7374874681408483,0.069,0.021,2.5984241373484524e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Fst,1.3188122577065409e-12,1.0490291489653725,0.097,0.036,2.648043132248963e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ola1,1.3244790093008356e-12,0.3752105104645856,0.806,0.696,2.659421402775148e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Abcd2,1.3493795211252049e-12,0.41813409408510394,0.36,0.219,2.7094191404672984e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
