genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Ccnb1,9.307922218968816e-7,-6.998401083235432,0,0.081,0.01879455654454183,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Col4a2,9.31581839027494e-7,-0.45517794354700936,0.141,0.064,0.01881050049364316,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ogt,9.4208157162067e-7,-0.46356384815301666,0.83,0.853,0.01902251109416456,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Knl1,9.506730692636615e-7,-5.757276742037329,0,0.08,0.01919599061457185,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Dnajc16,9.534266104743638e-7,0.9135741448267378,0.185,0.094,0.01925159011869835,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Dpysl4,9.571106602452635e-7,0.2790800582557046,0.431,0.268,0.01932597845167236,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Fgd1,9.57570953268432e-7,0.705382383630363,0.322,0.202,0.01933527268839617,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
L3mbtl2,9.708554859446523e-7,0.7593127763909324,0.225,0.122,0.01960351397219442,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Acta1,9.743443081165032e-7,1.7538463812226617,0.065,0.021,0.01967396026948843,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ppp4c,9.760781142549964e-7,-0.696672395497618,0.428,0.533,0.01970896928303688,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Lysmd4,9.910108606125398e-7,0.6027909330040706,0.326,0.2,0.0200104912974884,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Kif17,9.953666896249216e-7,2.2552333163013367,0.036,0.008,0.02009844419690642,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Phc2,9.994500058186353e-7,-0.5043776262996604,0.717,0.776,0.02018089451748988,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Prps1,1.0024591976976096e-6,0.5072064136395362,0.384,0.244,0.02024165611991013,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Nrf1,1.0133833261658482e-6,-0.720697286440066,0.424,0.537,0.0204622361219408,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ap3b1,1.0146078169158569e-6,-0.6940577373576826,0.435,0.545,0.02048696103916497,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Vps26b,1.020916387745858e-6,0.45566360646414616,0.464,0.312,0.02061434370136436,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Gm29856,1.021407949737317e-6,1.416198914614776,0.087,0.032,0.0206242693210959,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tbc1d19,1.0244086715379048e-6,0.44688500782364793,0.518,0.36,0.02068485989569337,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Far1,1.0258336446696173e-6,0.3723345373158075,0.583,0.417,0.02071363295316891,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Nphp4,1.0348161426411717e-6,1.0627994211216527,0.159,0.077,0.02089500755221053,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Med31,1.03765419984372e-6,0.4672847455397632,0.547,0.405,0.02095231360324439,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
9930014A18Rik,1.0389603996467875e-6,1.5277591711124288,0.076,0.026,0.02097868838966794,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tpx2,1.039324533996155e-6,-4.447970585254751,0.018,0.109,0.02098604099045035,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Scaf11,1.0610630475298324e-6,-0.8369519351914054,0.326,0.451,0.02142498505572237,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Nek7,1.0802455444445276e-6,-4.858423465494229,0,0.08,0.0218123180334239,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Trib2,1.0898839157073453e-6,-1.0996202882687354,0.145,0.275,0.02200693602596271,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Cers6,1.1067844294751218e-6,0.3361454626344287,0.764,0.629,0.02234819119996166,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Cstb,1.1097090099918736e-6,0.4231260244342575,0.467,0.313,0.02240724432975591,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tle2,1.1099581618515e-6,0.6345691767500155,0.29,0.171,0.02241227520410548,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Zfp952,1.110739885641722e-6,0.8747899938108685,0.207,0.111,0.02242805977087765,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Lhx6,1.1108572972951446e-6,-4.441297222487433,0.014,0.103,0.02243043054698356,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Trmt10b,1.111966136652259e-6,0.5761221926738274,0.315,0.19,0.02245282023128241,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Fat1,1.1162630787083043e-6,-1.840276118783971,0.058,0.167,0.02253958408527808,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Spag6l,1.1234795640831186e-6,0.8926369585577629,0.159,0.077,0.02268529935796633,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Smyd4,1.1488306895014875e-6,0.6876830994099028,0.268,0.156,0.02319718928241404,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Psme4,1.1546742428177217e-6,-0.5512031947650838,0.634,0.705,0.02331518231097543,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Thoc2,1.155106427725959e-6,-0.49266230695358576,0.663,0.731,0.02332390898864256,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Eif3l,1.156234762291592e-6,-0.5428577740304001,0.612,0.682,0.02334669232019182,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Arl2,1.159348146089096e-6,0.5411839932150075,0.496,0.353,0.02340955776583102,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Nifk,1.159844459859993e-6,0.41557195458196106,0.58,0.422,0.02341957933349298,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Lmbrd2,1.1688961766689937e-6,0.4475088987772775,0.406,0.26,0.02360235159930032,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Sfrp1,1.1878671730265506e-6,-1.557578160800842,0.228,0.343,0.02398541395775211,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tmod3,1.1949477303903176e-6,0.3792680922251005,0.591,0.426,0.02412838457204129,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Lrif1,1.2026102163967476e-6,0.6089085412268269,0.319,0.196,0.02428310548948312,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Cox7a2,1.2059035695745616e-6,0.17344062533601168,0.989,0.98,0.02434960487684954,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Atg16l2,1.2147994371644175e-6,0.673687152961191,0.236,0.13,0.02452923023522392,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Myef2,1.23234323382265e-6,-0.39361741331027655,0.866,0.886,0.02488347457734694,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
