genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Mpp3,1.133525637333652e-7,-0.6255554256394551,0.134,0.2,0.00230525108864544,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cth,1.139787607274687e-7,-3.251559739456974,0.003,0.029,0.00231798605691453,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Zmynd19,1.1465772709882645e-7,-0.4326123009981606,0.24,0.318,0.00233179419600883,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Aldh5a1,1.152339909357687e-7,-1.0886103104274647,0.043,0.09,0.00234351367366072,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Kctd17,1.1574729231581667e-7,-0.3482667846351748,0.4,0.482,0.00235395268382676,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Nfe2l3,1.1620556192960473e-7,-1.3698742214573882,0.043,0.089,0.00236327251296237,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cyfip1,1.1662102112132316e-7,-0.3603645245747038,0.398,0.479,0.00237172170654434,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Topbp1,1.1668603440540187e-7,-0.5689390802379353,0.214,0.285,0.00237304388170265,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Mcm6,1.1694619165149974e-7,-1.179798345889747,0.179,0.24,0.00237833469961655,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Ankrd9,1.1706211614773073e-7,-1.8007880284449165,0.013,0.047,0.00238069225609639,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Vars,1.1737157559140795e-7,-0.3475837520819477,0.363,0.444,0.00238698573280246,0,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
