genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Nde1,8.133455654583106e-7,-3.96584359900841,0.016,0.138,0.01639948663633591,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Zfp593,8.247327648525801e-7,-1.373240278341867,0.083,0.238,0.01662908673772257,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Rnf34,8.372259453921995e-7,-0.6044756021532361,0.198,0.395,0.01688098673694292,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Rcn3,8.535839155600478e-7,-2.902748173976225,0.016,0.139,0.01721081248943724,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Fam241a,8.667983008344903e-7,-2.77064463796888,0.021,0.147,0.01747725413972582,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Shisa9,8.678610898650405e-7,-2.812065506979284,0.016,0.141,0.01749868315494881,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Rab8b,8.77764943072394e-7,0.7364028430802245,0.594,0.508,0.01769837454716868,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Dpysl3,8.783990625947715e-7,0.2853778868307537,1,0.925,0.01771116029909837,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Zfp277,8.828859383487357e-7,-0.9958575783677068,0.115,0.285,0.01780162917492556,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Ssr1,8.977116439130245e-7,-0.7286091635765308,0.25,0.444,0.01810055987621831,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Psmc2,8.991450147789775e-7,-0.5362091923885715,0.526,0.702,0.01812946093298852,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Cep170,8.999352889236418e-7,0.4038918004785877,0.88,0.818,0.01814539523056739,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Mcat,9.159392065254352e-7,-1.3683026454786973,0.073,0.224,0.01846808222117235,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Psmd12,9.245981486213744e-7,-0.4134679568857648,0.401,0.637,0.01864267247065277,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Slc2a1,9.25303597650734e-7,-3.2154870974089276,0.026,0.155,0.01865689643943175,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Mrfap1,9.370599572623722e-7,-0.45794618760879047,0.922,0.915,0.01889393991828121,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
